"Date","Symbol","Open","High","Low","Close","Previous Close","Volume","Turnover","VWAP","Change","Change%"
"2026-03-05","RELIANCE","1353.0999755859375","1399.0","1353.0999755859375","1389.4000244140625","1345.0","25957532","0.0","0.0","44.40","3.30"
"2026-03-06","RELIANCE","1396.5","1424.300048828125","1390.300048828125","1404.800048828125","1389.4000244140625","19311971","0.0","0.0","15.40","1.11"
"2026-03-09","RELIANCE","1375.0","1429.4000244140625","1370.0","1424.0","1404.800048828125","24870822","0.0","0.0","19.20","1.37"
"2026-03-10","RELIANCE","1430.5999755859375","1431.5","1400.5999755859375","1408.800048828125","1424.0","18071259","0.0","0.0","-15.20","-1.07"
"2026-03-11","RELIANCE","1424.9000244140625","1434.0","1383.5999755859375","1390.199951171875","1408.800048828125","21848087","0.0","0.0","-18.60","-1.32"
"2026-03-12","RELIANCE","1390.0","1410.9000244140625","1381.0999755859375","1392.199951171875","1390.199951171875","20939959","0.0","0.0","2.00","0.14"
"2026-03-13","RELIANCE","1385.199951171875","1400.800048828125","1378.4000244140625","1380.699951171875","1392.199951171875","17265090","0.0","0.0","-11.50","-0.83"
"2026-03-16","RELIANCE","1380.0","1397.300048828125","1363.5","1395.0999755859375","1380.699951171875","22837802","0.0","0.0","14.40","1.04"
"2026-03-17","RELIANCE","1399.0","1405.9000244140625","1388.199951171875","1397.5999755859375","1395.0999755859375","19007744","0.0","0.0","2.50","0.18"
"2026-03-18","RELIANCE","1397.199951171875","1412.9000244140625","1397.199951171875","1408.0999755859375","1397.5999755859375","9559327","0.0","0.0","10.50","0.75"
"2026-03-19","RELIANCE","1388.0","1415.699951171875","1376.0999755859375","1384.800048828125","1408.0999755859375","16498373","0.0","0.0","-23.30","-1.65"
"2026-03-20","RELIANCE","1398.0","1430.0","1396.0999755859375","1414.4000244140625","1384.800048828125","22994918","0.0","0.0","29.60","2.14"
"2026-03-23","RELIANCE","1400.0","1415.5999755859375","1391.0","1407.800048828125","1414.4000244140625","18979554","0.0","0.0","-6.60","-0.47"
"2026-03-24","RELIANCE","1420.0","1422.4000244140625","1406.5999755859375","1411.800048828125","1407.800048828125","18620893","0.0","0.0","4.00","0.28"
"2026-03-25","RELIANCE","1420.0","1430.5","1408.4000244140625","1413.0999755859375","1411.800048828125","19041331","0.0","0.0","1.30","0.09"
"2026-03-27","RELIANCE","1401.0","1404.699951171875","1345.0","1348.0999755859375","1413.0999755859375","23266517","0.0","0.0","-65.00","-4.60"
